timestamp,consumerCount,producerCount,topicCount,queueCount,msgMem,pendingMessageCount,connectionCount,sessionCount,durableCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,diskReadRate,diskWriteRate,asyncDBSize,syncDBSize,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,routeRecoverCount,RespTime
Mon May 21 14:31:22 388 PDT 2018,1566,481,9,591,977630773,173669,570,2332,0,5163626331,1174496264,146,1178326217,147,0,445572,4350139392,2048,250016,0,299,103618,75558912,0,6
Mon May 21 14:31:42 389 PDT 2018,1566,481,9,591,977386192,173671,576,2341,0,5163750337,1174499598,178,1178329551,178,0,183220,4350139392,2048,223811,0,357,223811,75558912,0,12
Mon May 21 14:32:02 399 PDT 2018,1566,482,9,591,977380454,173657,575,2341,0,5162338459,1174503097,159,1178333052,159,0,163512,4350139392,2048,209983,0,319,209983,75558912,0,13
Mon May 21 14:32:22 381 PDT 2018,1566,481,9,591,977380772,173657,574,2339,0,5162338893,1174506691,178,1178336646,178,0,183169,4350139392,2048,174565,0,357,174565,75558912,0,11
Mon May 21 14:32:42 418 PDT 2018,1563,480,9,590,977796966,174067,569,2335,0,5162556827,1174511719,643,1178341286,491,0,676352,4350139392,2048,364577,0,1321,433266,75558912,0,10
Mon May 21 14:33:02 443 PDT 2018,1563,480,9,590,977313914,173665,570,2339,0,5163039714,1174514666,27,1178344611,27,0,27648,4350139392,2048,65722,0,54,65722,75558912,0,13
Mon May 21 14:33:22 444 PDT 2018,1563,480,9,590,977227736,173664,571,2337,0,5163089617,1174517856,317,1178347803,317,0,325818,4350139392,2048,317195,0,636,317195,75558912,0,14
Mon May 21 14:33:42 475 PDT 2018,1563,480,9,590,977226337,173662,568,2334,0,5163087976,1174521021,158,1178350969,158,0,163072,4350139392,2048,109549,0,318,109663,75558912,0,12
Mon May 21 14:34:02 482 PDT 2018,1563,480,7,590,977232290,173661,568,2328,0,5163087486,1174524134,134,1178354083,134,0,137590,4350139392,2048,191086,0,268,191086,75558912,0,11
Mon May 21 14:34:22 483 PDT 2018,1563,480,7,590,979326458,175184,567,2325,0,5164417865,1174528932,162,1178357364,166,0,166400,4350139392,2048,165172,0,325,161680,75558912,0,10
Mon May 21 14:34:42 466 PDT 2018,1563,480,7,590,979186608,175084,568,2326,0,5164330677,1174531706,157,1178360234,163,0,161630,4350139392,2048,115291,0,315,110058,75558912,0,10
Mon May 21 14:35:02 498 PDT 2018,1563,480,7,590,979052323,174988,567,2325,0,5164247252,1174534819,142,1178363447,146,0,145628,4350139392,2048,106113,0,284,99407,75558912,0,11
Mon May 21 14:35:22 546 PDT 2018,1563,481,7,590,978998479,174893,568,2326,0,5164242376,1174537932,154,1178366653,160,0,157696,4350139392,2048,112442,0,308,107204,75558912,0,54
Mon May 21 14:35:42 556 PDT 2018,1563,480,7,590,978923519,174846,570,2327,0,5164192560,1174541132,158,1178369935,161,0,162048,4350139392,2048,112788,0,316,110169,75558912,0,11
Mon May 21 14:36:02 559 PDT 2018,1563,481,7,590,978736095,174705,572,2328,0,5164079296,1174544499,163,1178373410,167,0,167340,4350139392,2048,170537,0,326,163807,75558912,0,6
Mon May 21 14:36:22 561 PDT 2018,1563,480,7,590,978600303,174608,572,2329,0,5163994720,1174547926,83,1178376931,85,0,85034,4350139392,2048,107962,0,166,106216,75558912,0,6
Mon May 21 14:36:42 578 PDT 2018,1563,481,7,590,978459939,174507,570,2329,0,5163834701,1174551147,160,1178380250,164,0,166570,4350139392,2048,146887,0,325,143406,75513856,0,6
Mon May 21 14:37:02 590 PDT 2018,1563,482,7,590,978328423,174413,569,2327,0,5163752961,1174554282,81,1178383485,84,0,81786,4350139392,2048,110982,0,159,105113,75513856,0,6
Mon May 21 14:37:22 600 PDT 2018,1563,480,7,590,978210631,174307,572,2329,0,5163574726,1174557401,79,1178386705,82,0,80761,4350139392,2048,106511,0,157,103888,75468800,0,10
Mon May 21 14:37:42 607 PDT 2018,1563,480,7,590,978070167,174206,572,2329,0,5163487590,1174560548,79,1178389956,82,0,81879,4350139392,2048,107306,0,159,104688,75468800,0,10
Mon May 21 14:38:02 621 PDT 2018,1563,480,7,590,978368912,174101,571,2323,0,5163396037,1174563663,79,1178393169,80,0,79576,4350139392,2048,108199,0,155,226025,75454464,0,6
Mon May 21 14:38:22 628 PDT 2018,1563,481,7,590,977751002,174012,571,2322,0,5163444099,1174566782,157,1178396378,162,0,161280,4350139392,2048,163449,0,315,159084,75454464,0,6
Mon May 21 14:38:42 629 PDT 2018,1563,480,7,590,977622349,173920,570,2323,0,5163364173,1174569944,157,1178399634,163,0,161621,4350139392,2048,147079,0,315,142423,75454464,0,11
Mon May 21 14:39:02 634 PDT 2018,1563,481,7,590,977711316,173982,571,2324,0,5163420288,1174573221,142,1178402875,146,0,145335,4350139392,2048,153169,0,283,148065,75454464,0,11
Mon May 21 14:39:22 635 PDT 2018,1563,480,7,590,977328461,173696,572,2325,0,5162827566,1174576446,159,1178406342,163,0,164187,4350139392,2048,114494,0,320,111005,75454464,0,11
Mon May 21 14:39:42 635 PDT 2018,1563,482,7,590,977227826,173624,572,2325,0,5162764947,1174579690,163,1178409653,163,0,166828,4350139392,2048,163367,0,325,161748,75454464,0,11
Mon May 21 14:40:02 644 PDT 2018,1563,480,7,590,977226636,173623,571,2324,0,5162764457,1174582902,229,1178412865,229,0,232587,4350139392,2048,264019,0,454,258950,75454464,0,11
Mon May 21 14:40:22 648 PDT 2018,1563,481,7,590,977228582,173624,570,2322,0,5162765984,1174586074,82,1178416037,82,0,84181,4350139392,2048,106275,0,164,106275,75454464,0,10
Mon May 21 14:40:42 649 PDT 2018,1563,480,7,590,977271444,173659,572,2324,0,5162790113,1174589255,181,1178419218,180,0,194389,4350139392,2048,157100,0,379,157468,75454464,0,10
Mon May 21 14:41:02 655 PDT 2018,1563,481,7,590,977224014,173620,574,2324,0,5162762987,1174592527,153,1178422494,153,0,168195,4350139392,2048,160614,0,328,154842,75454464,0,11
Mon May 21 14:41:22 670 PDT 2018,1563,480,7,590,977221978,173618,574,2325,0,5162762007,1174595663,155,1178425632,155,0,159266,4350139392,2048,108894,0,311,108894,75454464,0,10
Mon May 21 14:41:42 671 PDT 2018,1563,480,7,590,977222379,173618,572,2323,0,5162762668,1174598879,160,1178428848,160,0,166233,4350139392,2048,209686,0,324,209686,75454464,0,11
Mon May 21 14:42:02 679 PDT 2018,1563,480,7,590,977219366,173616,570,2321,0,5162761027,1174601996,146,1178431965,146,0,149290,4350139392,2048,155477,0,291,150612,75454464,0,7
Mon May 21 14:42:22 679 PDT 2018,1563,480,7,590,977218376,173615,570,2322,0,5162760537,1174605017,146,1178434990,146,0,147456,4350139392,2048,133620,0,288,133775,75454464,0,6
Mon May 21 14:42:42 686 PDT 2018,1563,480,7,590,977220403,173616,570,2323,0,5162762064,1174608177,152,1178438150,152,0,164690,4350139392,2048,107062,0,321,106485,75454464,0,7
